order,id,date,time,title,url,visitCount,typedCount,transition
0,3700,5/8/2024,18:39:14,Quick Chrome History Export,https://chromewebstore.google.com/detail/quick-chrome-history-expo/hdfpifhfphhgjipcnfnolgalplokmmge?pli=1,2,0,link
1,3700,5/8/2024,18:39:14,Quick Chrome History Export,https://chromewebstore.google.com/detail/quick-chrome-history-expo/hdfpifhfphhgjipcnfnolgalplokmmge?pli=1,2,0,typed
2,3696,5/8/2024,18:34:33,Editing Imersao-Alura-2/Aula_1/README.md at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/edit/main/Aula_1/README.md,3,0,link
3,3696,5/8/2024,18:34:32,Editing Imersao-Alura-2/Aula_1/README.md at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/edit/main/Aula_1/README.md,3,0,link
4,3696,5/8/2024,18:34:32,Editing Imersao-Alura-2/Aula_1/README.md at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/edit/main/Aula_1/README.md,3,0,link
5,3693,5/8/2024,18:31:52,Imersao-Alura-2/Aula_1 at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main/Aula_1,7,0,link
6,3693,5/8/2024,18:31:52,Imersao-Alura-2/Aula_1 at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main/Aula_1,7,0,link
7,3614,5/8/2024,18:31:52,"BeatrizVencio/Imersao-Alura-2: Imersão Alura IA Google Gemini, uma iniciativa da Alura em parceria com o Google para ensinar sobre Inteligência Artificial (IA) e a nova tecnologia do Google, o Gemini.",https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main,26,0,link
8,3614,5/8/2024,18:31:49,"BeatrizVencio/Imersao-Alura-2: Imersão Alura IA Google Gemini, uma iniciativa da Alura em parceria com o Google para ensinar sobre Inteligência Artificial (IA) e a nova tecnologia do Google, o Gemini.",https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main,26,0,link
9,3614,5/8/2024,18:31:49,"BeatrizVencio/Imersao-Alura-2: Imersão Alura IA Google Gemini, uma iniciativa da Alura em parceria com o Google para ensinar sobre Inteligência Artificial (IA) e a nova tecnologia do Google, o Gemini.",https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main,26,0,link
10,3613,5/8/2024,18:31:49,Imersao-Alura-2/README.md at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/blob/main/README.md,12,0,link
11,3613,5/8/2024,18:22:18,Imersao-Alura-2/README.md at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/blob/main/README.md,12,0,link
12,3613,5/8/2024,18:22:18,Imersao-Alura-2/README.md at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/blob/main/README.md,12,0,link
